track_id,artist,title,lrclib_status,lrclib_len,lyrics_ovh_status,lyrics_ovh_len,genius_search_status,genius_search_len,genius_scrape_status,genius_scrape_len,deezer_lyrics_status,deezer_lyrics_len,chartlyrics_status,chartlyrics_len
48YY3KJOFfMUvX3dxLjI0J,Eels,Feeling Good - Live,ok,900,error:ReadTimeout,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
1szSSU8bl5WB5DJIjNCSc2,Ben Hemsley,I Feel Love,ok,819,error:ReadTimeout,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
4zcF7AbcX5WB4p657xHNuN,Tape Machines,Trip With You,ok,928,not_found,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,ok,1689,error:ReadTimeout,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
0rPYFtIKeykjNFlvOu20Cn,WENDY,Queen Of The Party,ok,1794,not_found,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
1CLmBWrAPdwmqJmFC3acfu,Mario Piano,"Sad Song (From ""Super Mario RPG"")",not_found,0,http_502,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
4i6RTfAn7kjNYfISootvrX,Saint Vice,BAD CHOICES,ok,1123,error:ReadTimeout,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
6kzr2QVM3E2PvzM5oHh2N7,DJ Workout,Workout Move,not_found,0,not_found,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
3lHK21L8Kf4Ajdwhjh0zDm,Sebastian Schub,I Can’t Believe We Never Went Out Dancing,ok,1115,not_found,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
0THfladRNQWfvk8crQ9XtO,Lior,Sad piano,not_found,0,not_found,0,search_hit,0,scrape_403,0,no_lyrics_endpoint,0,http_404,0
