track_id,mood_label,lang_bucket,year_bucket,status,has_preview,preview_url,deezer_id
5w7wuzMzsDer96KqxafeRK,calm,likely_western_other,2010_2019,error:ConnectionError,False,,
6o2WunQapVQ2BWGRlypmT7,happy,likely_western_other,2020_plus,error:ConnectionError,False,,
02VomyV2YmyAn5xR0v5X5w,romantic,likely_western_other,2020_plus,error:ConnectionError,False,,
5e29L3mbUbN697F5LgS2cj,stressed,likely_western_other,unknown_year,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/5/7/8/0/57844012a393a08ddf6f9a455d55f594.mp3?hdnea=exp=1781591834~acl=/api/1/1/5/7/8/0/57844012a393a08ddf6f9a455d55f594.mp3*~data=user_id=0,application_id=42~hmac=8a0f08cf048c899134b54c26d5a432048de8645474df73781e0bd29974cf5c75",2796318392.0
6BgaaxadJ1jr5GEYDiUSbx,calm,likely_western_other,2020_plus,error:ConnectionError,False,,
60r4MMfatilPc5rS52kgNQ,happy,likely_western_other,2020_plus,error:ConnectionError,False,,
6lATKXWmkGvxj2l7J5HZ57,calm,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/f/6/0/cf6e49bc74cdc41507e172bcf4490787.mp3?hdnea=exp=1781591860~acl=/api/1/1/c/f/6/0/cf6e49bc74cdc41507e172bcf4490787.mp3*~data=user_id=0,application_id=42~hmac=e96a050a3495e8f7a541e38c2de9149594cfbeaf2b6e3d41327c7c10a9473019",2367799035.0
3TnjzoXmTUJFQj2m6bZHlI,romantic,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/6/c/1/0/6c1cdfc80a4188c0929251b9c7426b6f.mp3?hdnea=exp=1781591864~acl=/api/1/1/6/c/1/0/6c1cdfc80a4188c0929251b9c7426b6f.mp3*~data=user_id=0,application_id=42~hmac=395abc0569c179cca40aa5a0c1a48014dc2ac438979702914a441c45ac71769d",3277864261.0
7vNfFdlWpwleZW3WVrHcf2,stressed,likely_western_other,2010_2019,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/d/f/3/0/df3d421d3d24e57bc78f066218ffa04b.mp3?hdnea=exp=1781591867~acl=/api/1/1/d/f/3/0/df3d421d3d24e57bc78f066218ffa04b.mp3*~data=user_id=0,application_id=42~hmac=0b118d7fe3f467a219d03f2830c1c99caa4737015c6e28f48539d8f198bd761b",382528691.0
0e8nrvls4Qqv5Rfa2UhqmO,calm,likely_western_other,2020_plus,error:ConnectionError,False,,
3mUbUAa1LlqdgrJKFkfNT2,energetic,likely_western_other,2020_plus,error:ConnectionError,False,,
70tmdhbUPcVxIxCIpChscl,calm,likely_vn,2020_plus,error:ConnectionError,False,,
